station_number,median
1,-6.193
2,-5.724
3,-6.827
4,-6.368
5,-5.206
6,-5.275
7,-6.788
8,-6.592
9,-5.348
10,-5.28
11,-4.506
12,-3.889
13,-5.02
14,-7.281
15,-5.102
16,-4.554
17,-5.71
18,-5.132
19,-5.028
20,-5.956
21,-6.238
22,-3.338
23,-3.455
24,-0.062
25,-3.142
26,-6.036
27,-5.064
28,-4.648
29,-5.827
30,-4.96
31,-3.381
32,-6.435
33,-4.369
34,-4.24
35,-4.198
36,-5.876
37,-5.082
38,-1.395
39,-5.505
40,-5.64
41,-6.286
42,-3.203
43,-6.59
44,-4.025
45,-4.654
46,-2.898
47,-7.685
48,-3.772
49,-4.599
50,-7.372
51,-6.668
52,-3.537
53,-9.539
54,-4.907
55,-5.475
56,-6.495
57,-6.747
58,-4.79
59,-6.608
60,-4.613
61,-4.449
62,-4.95
