station_number,std
1,2.168
2,2.87
3,2.857
4,2.488
5,2.457
6,2.336
7,1.984
8,2.617
9,2.324
10,2.994
11,2.623
12,2.946
13,2.471
14,2.428
15,2.642
16,2.652
17,2.661
18,3.115
19,2.621
20,2.555
21,3.091
22,2.043
23,3.81
24,3.207
25,2.974
26,2.848
27,2.391
28,2.823
29,1.932
30,2.329
31,3.081
32,2.295
33,2.27
34,2.918
35,2.51
36,1.0
37,3.527
38,1.963
39,1.529
40,2.152
41,4.087
42,2.158
43,3.109
44,1.69
45,1.192
46,2.049
47,2.34
48,1.216
49,3.143
50,2.287
51,2.557
52,2.309
53,1.878
54,0.666
55,2.152
56,2.005
57,3.967
58,0.168
59,2.463
60,2.159
61,2.289
62,2.189
