o18,h2,d_excess
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-5.634,-46.225,-1.153
-6.23,-41.3,8.54
-6.126,-42.932,6.076
-9.039,-61.505,10.807
-8.933,-61.97,9.494
-8.071,-55.798,8.77
-6.9,-44.1,11.1
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-2.004,-12.558,3.474
-5.417,-28.926,14.41
-4.49,-18.5,17.42
-8.659,-58.989,10.283
-9.815,-70.84,7.68
-9.021,-60.954,11.214
-7.336,-46.268,12.42
-999.0,-999.0,-999.0
-6.224,-44.288,5.504
-4.905,-29.111,10.129
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-4.227,-25.629,8.187
-5.196,-30.448,11.12
-999.0,-999.0,-999.0
-10.03,-70.068,10.172
-6.615,-49.534,3.386
-5.502,-39.484,4.532
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-3.783,-19.929,10.335
-4.441,-24.457,11.071
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-5.246,-30.467,11.501
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
0.395,3.999,0.839
-2.577,-15.834,4.782
-3.789,-29.682,0.63
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-5.956,-34.082,13.566
-6.771,-47.367,6.801
-10.74,-77.671,8.249
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-2.269,-7.105,11.047
-3.666,-20.896,8.432
-8.227,-52.228,13.588
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-4.162,-23.699,9.597
-6.527,-43.48,8.736
-7.683,-51.754,9.71
-7.34,-58.47,0.25
-999.0,-999.0,-999.0
-5.028,-30.14,10.084
-3.59,-29.645,-0.925
-6.076,-42.634,5.974
-1.843,-8.382,6.362
-2.224,-14.808,2.984
-3.868,-34.381,-3.437
-999.0,-999.0,-999.0
-4.605,-33.375,3.465
-9.343,-67.716,7.028
-5.757,-44.763,1.293
-5.277,-38.312,3.904
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-8.205,-55.47,10.17
-9.417,-69.652,5.684
-6.331,-42.45,8.198
-2.768,-23.192,-1.048
-999.0,-999.0,-999.0
-1.804,-13.599,0.833
-999.0,-999.0,-999.0
-3.009,-19.763,4.309
-5.812,-41.491,5.005
-1.938,-12.24,3.264
-2.636,-12.119,8.969
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-8.118,-59.278,5.666
-4.515,-36.901,-0.781
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-1.203,-11.817,-2.193
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
-999.0,-999.0,-999.0
