date,precipitation,o18,h2,d_excess
2010-09-30,104.08,-999.0,-999.0,-999.0
2010-10-31,129.16,-999.0,-999.0,-999.0
2010-11-30,375.98,-999.0,-999.0,-999.0
2010-12-31,305.8,-999.0,-999.0,-999.0
2011-01-31,215.25,-999.0,-999.0,-999.0
2011-02-28,96.1,-999.0,-999.0,-999.0
2011-03-31,383.39,-999.0,-999.0,-999.0
2011-04-30,136.09,-999.0,-999.0,-999.0
2011-05-31,74.97,-999.0,-999.0,-999.0
2011-06-30,28.04,-999.0,-999.0,-999.0
2011-07-31,55.93,-999.0,-999.0,-999.0
2011-08-31,89.3,-999.0,-999.0,-999.0
2011-09-30,146.64,-999.0,-999.0,-999.0
2011-10-31,181.53,-999.0,-999.0,-999.0
2011-11-30,255.53,-999.0,-999.0,-999.0
2011-12-31,187.31,-999.0,-999.0,-999.0
2012-01-31,186.48,-999.0,-999.0,-999.0
2012-02-29,112.15,-999.0,-999.0,-999.0
2012-03-31,127.16,-999.0,-999.0,-999.0
2012-04-30,105.19,-999.0,-999.0,-999.0
2012-05-31,158.35,-999.0,-999.0,-999.0
2012-06-30,43.1,-999.0,-999.0,-999.0
2012-07-31,57.35,-999.0,-999.0,-999.0
2012-08-31,60.59,-999.0,-999.0,-999.0
2012-09-30,123.24,-999.0,-999.0,-999.0
2012-10-31,173.65,-999.0,-999.0,-999.0
2012-11-30,240.12,-999.0,-999.0,-999.0
2012-12-31,253.48,-999.0,-999.0,-999.0
2013-01-31,395.33,-999.0,-999.0,-999.0
2013-02-28,180.38,-999.0,-999.0,-999.0
2013-03-31,99.15,-999.0,-999.0,-999.0
2013-04-30,133.5,-999.0,-999.0,-999.0
2013-05-31,159.27,-999.0,-999.0,-999.0
2013-06-30,166.84,-5.174,-37.044,4.348
2013-07-31,71.29,-999.0,-999.0,-999.0
2013-08-31,59.38,-999.0,-999.0,-999.0
2013-09-30,172.45,-999.0,-999.0,-999.0
2013-10-31,94.28,-999.0,-999.0,-999.0
2013-11-30,156.41,-999.0,-999.0,-999.0
2013-12-31,348.64,-5.357,-27.851,15.005
2014-01-31,203.47,-999.0,-999.0,-999.0
2014-02-28,122.71,-2.42,-9.807,9.553
2014-03-31,42.59,-1.549,-4.803,7.589
2014-04-30,83.72,-6.471,-40.705,11.063
2014-05-31,84.33,-999.0,-999.0,-999.0
2014-06-30,78.01,-999.0,-999.0,-999.0
2014-07-31,39.3,-5.64,-45.479,-0.359
2014-08-31,149.79,-1.513,-21.33,-9.226
2014-09-30,175.14,-6.886,-53.4,1.688
2014-10-31,405.9,-999.0,-999.0,-999.0
2014-11-30,396.21,-999.0,-999.0,-999.0
2014-12-31,567.26,-999.0,-999.0,-999.0
2015-01-31,192.33,-999.0,-999.0,-999.0
2015-02-28,43.69,-999.0,-999.0,-999.0
2015-03-31,130.99,-999.0,-999.0,-999.0
2015-04-30,331.08,-999.0,-999.0,-999.0
2015-05-31,47.15,-999.0,-999.0,-999.0
2015-06-30,67.47,-999.0,-999.0,-999.0
2015-07-31,112.38,-999.0,-999.0,-999.0
2015-08-31,118.89,-999.0,-999.0,-999.0
2015-09-30,172.17,-999.0,-999.0,-999.0
2015-10-31,273.7,-999.0,-999.0,-999.0
2015-11-30,251.58,-999.0,-999.0,-999.0
2015-12-31,162.02,-999.0,-999.0,-999.0
2016-01-31,336.67,-999.0,-999.0,-999.0
2016-02-29,153.12,-999.0,-999.0,-999.0
2016-03-31,89.02,-999.0,-999.0,-999.0
2016-04-30,47.67,-999.0,-999.0,-999.0
2016-05-31,230.16,-999.0,-999.0,-999.0
2016-06-30,70.58,-999.0,-999.0,-999.0
2016-07-31,91.04,-999.0,-999.0,-999.0
2016-08-31,317.03,-1.891,-19.702,-4.574
2016-09-30,82.51,-3.741,-24.845,5.083
2016-10-31,299.19,-6.158,-42.044,7.22
2016-11-30,455.64,-999.0,-999.0,-999.0
2016-12-31,278.21,-999.0,-999.0,-999.0
2017-01-31,447.39,-999.0,-999.0,-999.0
2017-02-28,111.69,-6.176,-38.778,10.63
2017-03-31,238.78,-999.0,-999.0,-999.0
2017-04-30,80.81,-999.0,-999.0,-999.0
2017-05-31,168.32,-999.0,-999.0,-999.0
2017-06-30,29.45,-6.269,-40.497,9.655
2017-07-31,108.32,-6.233,-35.678,14.186
2017-08-31,76.82,-8.288,-54.137,12.167
2017-09-30,193.01,-999.0,-999.0,-999.0
