date,o18,h2,d_excess
2010-09-30,-999.0,-999.0,-999.0
2010-10-31,-999.0,-999.0,-999.0
2010-11-30,-9.81,-66.4,12.08
2010-12-31,-8.46,-57.239,10.441
2011-01-31,-9.942,-69.288,10.248
2011-02-28,-1.704,-18.895,-5.263
2011-03-31,-3.783,-30.017,0.247
2011-04-30,-5.946,-37.84,9.728
2011-05-31,-3.775,-20.325,9.875
2011-06-30,-4.46,-28.466,7.214
2011-07-31,-5.795,-38.3,8.06
2011-08-31,-3.824,-22.598,7.994
2011-09-30,-4.594,-34.8,1.952
2011-10-31,-6.565,-43.223,9.297
2011-11-30,-10.72,-74.3,11.46
2011-12-31,-5.889,-46.896,0.216
2012-01-31,-3.77,-26.928,3.232
2012-02-29,-3.283,-21.16,5.104
2012-03-31,-6.466,-48.453,3.275
2012-04-30,-5.229,-31.323,10.509
2012-05-31,-4.058,-28.452,4.012
2012-06-30,-0.648,-5.087,0.097
2012-07-31,-4.361,-30.042,4.846
2012-08-31,-4.0,-32.211,-0.211
2012-09-30,-5.182,-34.567,6.889
2012-10-31,-5.392,-35.604,7.532
2012-11-30,-6.13,-49.833,-0.793
2012-12-31,-3.706,-26.904,2.744
2013-01-31,-4.88,-44.619,-5.579
2013-02-28,-8.322,-63.534,3.042
2013-03-31,1.522,3.862,-8.314
2013-04-30,-999.0,-999.0,-999.0
2013-05-31,-999.0,-999.0,-999.0
2013-06-30,-999.0,-999.0,-999.0
2013-07-31,-999.0,-999.0,-999.0
2013-08-31,-999.0,-999.0,-999.0
2013-09-30,-999.0,-999.0,-999.0
2013-10-31,-999.0,-999.0,-999.0
2013-11-30,-999.0,-999.0,-999.0
2013-12-31,-999.0,-999.0,-999.0
2014-01-31,-999.0,-999.0,-999.0
2014-02-28,-4.135,-23.605,9.475
2014-03-31,-1.885,-4.766,10.314
2014-04-30,-3.819,-19.267,11.285
2014-05-31,-999.0,-999.0,-999.0
2014-06-30,-999.0,-999.0,-999.0
2014-07-31,-999.0,-999.0,-999.0
2014-08-31,-999.0,-999.0,-999.0
2014-09-30,-5.645,-34.465,10.695
2014-10-31,-999.0,-999.0,-999.0
2014-11-30,-999.0,-999.0,-999.0
2014-12-31,-999.0,-999.0,-999.0
2015-01-31,-999.0,-999.0,-999.0
2015-02-28,-999.0,-999.0,-999.0
2015-03-31,-999.0,-999.0,-999.0
2015-04-30,-999.0,-999.0,-999.0
2015-05-31,-999.0,-999.0,-999.0
2015-06-30,-999.0,-999.0,-999.0
2015-07-31,-999.0,-999.0,-999.0
2015-08-31,-999.0,-999.0,-999.0
2015-09-30,-999.0,-999.0,-999.0
2015-10-31,-999.0,-999.0,-999.0
2015-11-30,-999.0,-999.0,-999.0
2015-12-31,-999.0,-999.0,-999.0
2016-01-31,-999.0,-999.0,-999.0
2016-02-29,-2.617,-11.737,9.199
2016-03-31,-1.344,0.379,11.131
2016-04-30,-999.0,-999.0,-999.0
2016-05-31,-999.0,-999.0,-999.0
2016-06-30,-999.0,-999.0,-999.0
2016-07-31,-999.0,-999.0,-999.0
2016-08-31,-5.723,-35.26,10.524
2016-09-30,-6.093,-38.054,10.69
2016-10-31,-5.701,-35.547,10.061
2016-11-30,-7.528,-50.143,10.081
2016-12-31,-999.0,-999.0,-999.0
2017-01-31,-999.0,-999.0,-999.0
2017-02-28,-5.163,-31.595,9.709
2017-03-31,-5.068,-28.184,12.36
2017-04-30,-7.349,-46.236,12.556
2017-05-31,-999.0,-999.0,-999.0
2017-06-30,-8.837,-58.341,12.355
2017-07-31,-6.988,-43.844,12.06
2017-08-31,-8.08,-56.206,8.434
2017-09-30,-6.973,-44.704,11.08
