date,precipitation,o18,h2,d_excess
2010-09-30,146.04,-999.0,-999.0,-999.0
2010-10-31,259.18,-999.0,-999.0,-999.0
2010-11-30,213.81,-999.0,-999.0,-999.0
2010-12-31,257.69,-6.584,-38.768,13.904
2011-01-31,236.21,-4.863,-35.712,3.192
2011-02-28,203.12,-4.154,-24.388,8.844
2011-03-31,461.78,-5.861,-36.544,10.344
2011-04-30,401.95,-7.763,-52.543,9.561
2011-05-31,164.15,-8.1,-52.15,12.65
2011-06-30,5.8,-5.18,-28.5,12.94
2011-07-31,0.34,-1.2,-0.8,8.8
2011-08-31,0.0,-999.0,-999.0,-999.0
2011-09-30,0.04,-999.0,-999.0,-999.0
2011-10-31,33.61,2.51,10.3,-9.78
2011-11-30,278.53,-999.0,-999.0,-999.0
2011-12-31,379.83,-999.0,-999.0,-999.0
2012-01-31,442.45,-999.0,-999.0,-999.0
2012-02-29,323.14,-9.271,-62.547,11.621
2012-03-31,296.2,-6.99,-49.189,6.731
2012-04-30,125.12,-2.913,-13.555,9.749
2012-05-31,84.9,-8.614,-55.091,13.821
2012-06-30,38.55,-3.249,-18.668,7.324
2012-07-31,0.58,-999.0,-999.0,-999.0
2012-08-31,0.0,-999.0,-999.0,-999.0
2012-09-30,0.15,-999.0,-999.0,-999.0
2012-10-31,2.95,-1.338,2.706,13.41
2012-11-30,73.77,-999.0,-999.0,-999.0
2012-12-31,262.02,-999.0,-999.0,-999.0
2013-01-31,573.75,-6.672,-45.031,8.345
2013-02-28,272.7,-5.14,-26.409,14.711
2013-03-31,323.96,-999.0,-999.0,-999.0
2013-04-30,327.45,-999.0,-999.0,-999.0
2013-05-31,181.33,-999.0,-999.0,-999.0
2013-06-30,257.85,-999.0,-999.0,-999.0
2013-07-31,84.76,-999.0,-999.0,-999.0
2013-08-31,1.7,-999.0,-999.0,-999.0
2013-09-30,0.0,-999.0,-999.0,-999.0
2013-10-31,5.38,-999.0,-999.0,-999.0
2013-11-30,123.07,-999.0,-999.0,-999.0
2013-12-31,418.31,-999.0,-999.0,-999.0
2014-01-31,270.55,-999.0,-999.0,-999.0
2014-02-28,291.02,-999.0,-999.0,-999.0
2014-03-31,300.89,-4.546,-24.236,12.132
2014-04-30,238.25,-2.655,-8.783,12.457
2014-05-31,120.66,-1.45,-2.908,8.692
2014-06-30,43.77,-999.0,-999.0,-999.0
2014-07-31,22.95,-0.361,7.402,10.29
2014-08-31,0.06,-999.0,-999.0,-999.0
2014-09-30,0.0,-999.0,-999.0,-999.0
2014-10-31,0.02,-999.0,-999.0,-999.0
2014-11-30,72.93,-999.0,-999.0,-999.0
2014-12-31,387.02,-999.0,-999.0,-999.0
2015-01-31,394.47,-999.0,-999.0,-999.0
2015-02-28,428.03,-999.0,-999.0,-999.0
2015-03-31,372.04,-999.0,-999.0,-999.0
2015-04-30,249.87,-999.0,-999.0,-999.0
2015-05-31,178.52,-999.0,-999.0,-999.0
2015-06-30,4.38,-999.0,-999.0,-999.0
2015-07-31,0.0,-999.0,-999.0,-999.0
2015-08-31,11.74,-999.0,-999.0,-999.0
2015-09-30,0.0,-999.0,-999.0,-999.0
2015-10-31,0.0,-999.0,-999.0,-999.0
2015-11-30,101.48,-999.0,-999.0,-999.0
2015-12-31,194.82,-999.0,-999.0,-999.0
2016-01-31,260.96,-3.583,-17.587,11.077
2016-02-29,523.58,-9.124,-60.456,12.536
2016-03-31,262.43,-4.749,-24.459,13.533
2016-04-30,259.17,-5.418,-29.191,14.153
2016-05-31,266.88,-0.641,-5.024,0.104
2016-06-30,177.47,-999.0,-999.0,-999.0
2016-07-31,363.46,-999.0,-999.0,-999.0
2016-08-31,50.76,-999.0,-999.0,-999.0
2016-09-30,124.07,-999.0,-999.0,-999.0
2016-10-31,379.98,-6.47,-42.04,9.72
2016-11-30,198.04,-999.0,-999.0,-999.0
2016-12-31,284.96,-999.0,-999.0,-999.0
2017-01-31,480.18,-999.0,-999.0,-999.0
2017-02-28,268.47,-3.909,-26.316,4.956
2017-03-31,238.14,-3.929,-24.285,7.147
2017-04-30,205.71,-999.0,-999.0,-999.0
2017-05-31,102.76,-999.0,-999.0,-999.0
2017-06-30,140.83,-999.0,-999.0,-999.0
2017-07-31,15.16,-999.0,-999.0,-999.0
2017-08-31,0.18,-2.749,-7.218,14.774
2017-09-30,6.31,-999.0,-999.0,-999.0
