date,precipitation,o18,h2
2010-09-30,140.42,-999.0,-999.0
2010-10-31,146.36,-999.0,-999.0
2010-11-30,135.14,-999.0,-999.0
2010-12-31,232.84,-999.0,-999.0
2011-01-31,182.16,-999.0,-999.0
2011-02-28,127.23,-999.0,-999.0
2011-03-31,173.13,-999.0,-999.0
2011-04-30,188.24,-999.0,-999.0
2011-05-31,940.1,-999.0,-999.0
2011-06-30,571.66,-999.0,-999.0
2011-07-31,587.63,-999.0,-999.0
2011-08-31,224.23,-999.0,-999.0
2011-09-30,312.97,-999.0,-999.0
2011-10-31,90.05,-999.0,-999.0
2011-11-30,112.15,-999.0,-999.0
2011-12-31,154.11,-999.0,-999.0
2012-01-31,115.92,-999.0,-999.0
2012-02-29,129.64,-999.0,-999.0
2012-03-31,254.87,-999.0,-999.0
2012-04-30,123.55,-999.0,-999.0
2012-05-31,685.98,-999.0,-999.0
2012-06-30,614.66,-999.0,-999.0
2012-07-31,1232.84,-999.0,-999.0
2012-08-31,527.93,-999.0,-999.0
2012-09-30,247.15,-999.0,-999.0
2012-10-31,78.25,-999.0,-999.0
2012-11-30,49.3,-999.0,-999.0
2012-12-31,210.85,-999.0,-999.0
2013-01-31,223.47,-999.0,-999.0
2013-02-28,149.24,-999.0,-999.0
2013-03-31,91.11,-999.0,-999.0
2013-04-30,233.55,-999.0,-999.0
2013-05-31,432.29,-999.0,-999.0
2013-06-30,266.66,-999.0,-999.0
2013-07-31,1293.73,-999.0,-999.0
2013-08-31,513.64,-999.0,-999.0
2013-09-30,287.44,-999.0,-999.0
2013-10-31,111.69,-999.0,-999.0
2013-11-30,122.43,-999.0,-999.0
2013-12-31,265.27,-999.0,-999.0
2014-01-31,157.42,-999.0,-999.0
2014-02-28,128.71,-999.0,-999.0
2014-03-31,84.96,-999.0,-999.0
2014-04-30,200.0,-999.0,-999.0
2014-05-31,256.44,-999.0,-999.0
2014-06-30,503.27,-999.0,-999.0
2014-07-31,185.67,-999.0,-999.0
2014-08-31,373.71,-999.0,-999.0
2014-09-30,194.66,-999.0,-999.0
2014-10-31,78.46,-999.0,-999.0
2014-11-30,25.25,-999.0,-999.0
2014-12-31,205.8,-999.0,-999.0
2015-01-31,140.08,-999.0,-999.0
2015-02-28,181.01,-999.0,-999.0
2015-03-31,149.62,-999.0,-999.0
2015-04-30,252.76,-999.0,-999.0
2015-05-31,109.9,-999.0,-999.0
2015-06-30,418.15,-999.0,-999.0
2015-07-31,91.05,-999.0,-999.0
2015-08-31,25.31,-999.0,-999.0
2015-09-30,6.36,-999.0,-999.0
2015-10-31,24.53,-999.0,-999.0
2015-11-30,22.91,-999.0,-999.0
2015-12-31,76.38,-999.0,-999.0
2016-01-31,69.09,-999.0,-999.0
2016-02-29,116.17,-999.0,-999.0
2016-03-31,313.59,-999.0,-999.0
2016-04-30,297.12,-999.0,-999.0
2016-05-31,199.01,-999.0,-999.0
2016-06-30,224.84,-999.0,-999.0
2016-07-31,781.21,-999.0,-999.0
2016-08-31,128.78,-2.304,-18.214
2016-09-30,246.51,-3.677,-21.695
2016-10-31,188.17,-999.0,-999.0
2016-11-30,57.26,-999.0,-999.0
2016-12-31,166.63,-999.0,-999.0
2017-01-31,216.44,-999.0,-999.0
2017-02-28,111.39,-999.0,-999.0
2017-03-31,168.49,-5.276,-37.7
2017-04-30,221.51,-3.866,-36.626
2017-05-31,545.5,-999.0,-999.0
2017-06-30,856.94,-999.0,-999.0
2017-07-31,783.02,-999.0,-999.0
2017-08-31,396.33,-999.0,-999.0
2017-09-30,435.63,-999.0,-999.0
