1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
,,,,,,,,,,,,,-67.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-35.436,-54.685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-44.293,-63.736,-89.952,-66.4,,,-66.676,-56.047,-59.004,,,-42.765,-67.4,-34.95,-45.3,,,-23.699,,,,,,5.9,,-44.981,,,-67.538,,,,,,,,,,,,-6.517,,,,,,,,,,,,,-15.504,,,,-12.285,,,
,-71.881,-55.917,-54.471,-57.239,,-54.317,-64.456,-37.908,-65.676,-8.605,-23.053,-43.172,-70.627,-56.718,,,,-43.48,-46.225,,-19.576,,,-40.902,,-37.788,-38.768,-38.173,-63.499,,,,,,,,,,,,-12.444,,,,,,,,,,,,,-25.702,,,,-66.476,,-59.12,-36.203
-39.367,-40.078,-48.78,-29.227,-69.288,,-48.803,-32.521,-38.444,-19.369,-2.863,-34.387,-34.918,,,,-62.257,,-51.754,-41.3,,-28.521,,,-33.52,,-32.209,-35.712,-52.29,-39.573,,,,,,,,,,,,,,,,,,,,,,,,,-27.747,,,,-45.48,,-26.564,-38.489
-36.059,-64.506,-54.033,-42.233,-18.895,,-55.215,-31.182,-15.856,-27.0,,-23.534,-37.432,,-38.197,,-38.287,-53.0,-58.47,-42.932,,-26.3,,,-22.351,,-30.717,-24.388,,-34.077,,-31.319,,,,,,,,,,-50.153,,,,,,,,,,,,,-53.623,,,,-54.559,,-27.33,-41.427
,-55.028,-46.429,-36.89,-30.017,-24.343,-43.564,-32.585,-27.865,-38.308,-18.257,-24.524,-51.047,-51.299,-53.023,-75.724,-41.382,,,-61.505,,-10.535,,,-44.551,,-36.526,-36.544,-38.959,-46.154,,-62.841,,,,,,,,,,-15.763,,,,,,,,,,,,,-28.565,,,,-71.602,,-66.928,-14.9
,-32.142,-38.687,-27.4,-37.84,-21.717,-56.954,-76.267,-85.037,-31.489,-30.648,-21.031,-39.512,-42.8,-47.491,-61.974,-28.172,,-30.14,-61.97,,-31.1,,,,,-25.7,-52.543,-29.909,-36.174,,-33.769,,,,,,,,,,-38.682,,,,,,,,,,,,,-34.539,,,,-37.306,,-48.3,-28.438
-28.975,-31.705,-31.8,-23.265,-20.325,-41.891,-59.854,-31.877,-29.025,-10.61,-12.824,-15.457,-47.51,-41.871,-50.819,-21.7,-66.326,-42.595,-29.645,-55.798,,-17.487,,,-19.946,,-32.82,-52.15,-23.27,-12.25,,-28.736,,,,,,,,,,-35.338,,,,,,,,,,,,,-47.063,,,,,,-53.111,-32.34
-48.7,-52.041,-63.5,-30.46,-28.466,-30.504,-42.165,-24.7,-30.303,-47.767,-46.5,,1.9,-27.782,-71.226,5.4,,,-42.634,-44.1,,-8.6,,,-49.5,,-46.846,-28.5,-25.809,,,-28.819,,,,,,,,,,7.7,,,,,,,,,,,,,-80.685,,,,,,-15.77,-38.906
-17.843,-15.838,-9.8,,-38.3,-34.215,-55.607,-52.3,-28.611,,-30.32,-4.427,,-63.5,,-31.272,,,-8.382,,,,,,2.849,,-15.608,-0.8,-15.192,-11.94,,-25.103,,,,,,,,,,,,,,,,,,,,,,,-96.295,,,,,,-11.105,-12.9
,,,-20.71,-22.598,-26.222,-27.567,-24.596,-20.005,-21.0,2.538,,,-27.646,,-27.0,,,-14.808,,,,,,,,-16.165,,,,,-42.26,,,,,,,,,,,,,,,,,,,,,,,-55.317,,,,,,-11.093,-8.831
,-1.068,-4.768,-27.728,-34.8,-57.382,,-42.367,-36.885,,7.397,,,,2.455,-17.923,,,-34.381,,,,,,,,-3.306,,,,,-45.788,,,,,,,,,,9.7,,,,,,,,,,,,,-36.549,,,,,,-6.923,-26.487
-25.203,-16.723,-21.513,-49.774,-43.223,-37.097,-34.907,-59.021,,-37.4,,-20.604,,,,-5.5,-32.96,,,-12.558,,-1.805,,,-16.4,,-17.408,10.3,-26.65,-11.6,,-55.433,,,,,,,,,,6.871,,,,,,,,,,,,,-45.57,,,,,,-24.805,-3.897
-38.59,-34.828,-47.424,-86.427,-74.3,-61.035,-50.072,,,-34.018,-38.445,,-15.549,,-26.797,-22.792,-59.459,,-33.375,-28.926,,-2.201,,,-26.4,,-36.217,,-38.042,-24.363,,-55.308,-13.854,,,,,,,,,-2.523,,,,,,,,,,,,,-20.0,,,,,,-3.4,-15.197
-43.386,-66.982,-71.751,-74.205,-46.896,-55.447,-60.521,-76.232,,-54.131,-6.288,-45.546,-55.318,,-56.614,-45.3,-58.287,,-67.716,-18.5,,-40.282,,,-25.81,,-56.386,,-39.138,,,-60.317,-43.504,,,,,,,,,-39.321,,,,,,,,,,,,,-44.779,,,,,,-29.868,-64.382
-43.264,-55.041,-32.241,-26.543,-26.928,-42.223,-78.596,-17.084,,-5.837,-19.56,-40.335,-45.34,,-37.972,-54.09,-52.782,,-44.763,-58.989,,-56.67,,,,,-42.199,,,-49.269,,-31.091,-43.596,,,,,,,,,-42.977,,,,,,,,,,,,,-41.891,,,,,,-54.836,-42.882
-46.163,-49.519,-60.787,-36.674,-21.16,-46.121,-35.364,-57.332,-41.075,-48.754,-46.704,-30.767,-37.259,,-44.357,-59.085,-38.708,,-38.312,-70.84,,-32.272,,,-33.179,,-47.166,-62.547,-42.98,-41.271,,-43.618,-35.281,,,,,,,,,-28.59,,,,,,,,,,,,,-27.384,,,,,,-29.565,-36.578
-53.272,-75.976,-52.802,-65.469,-48.453,-16.772,,-48.751,-46.644,-25.834,-33.993,-29.564,,,-58.608,,,,,-60.954,,,,,,,-39.271,-49.189,-50.003,-31.38,,-55.194,-50.157,,,,,,,,,-32.901,,,,,,,,,,,,,-45.008,,,,,,-23.456,-26.641
