1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
,,,,,,,,,,,,,-10.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-5.751,-8.261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-7.323,-9.121,-12.884,-9.81,,,-9.849,-8.166,-7.308,,,-6.739,-10.5,-4.605,-5.67,,,-4.162,,,,,,-0.66,,-7.487,,,-10.432,,,,,,,,,,,,-1.853,,,,,,,,,,,,,-3.669,,,,-3.812,,,
,-10.238,-7.581,-8.709,-8.46,,-8.234,-9.642,-4.907,-8.585,-1.352,-3.795,-6.239,-10.06,-7.638,,,,-6.527,-5.634,,-3.452,,,-5.659,,-6.013,-6.584,-6.395,-8.922,,,,,,,,,,,,-3.239,,,,,,,,,,,,,-4.691,,,,-10.155,,-8.43,-5.049
-6.44,-6.061,-7.702,-5.303,-9.942,,-6.794,-4.969,-5.882,-2.01,-0.497,-5.389,-5.109,,,,-8.543,,-7.683,-6.23,,-4.002,,,-4.704,,-4.852,-4.863,-7.95,-6.486,,,,,,,,,,,,,,,,,,,,,,,,,-4.765,,,,-6.938,,-3.79,-5.765
-5.992,-8.696,-7.431,-7.025,-1.704,,-7.703,-5.051,-1.667,-4.165,,-3.594,-4.931,,-5.551,,-4.511,-8.15,-7.34,-6.126,,-4.37,,,-3.213,,-5.059,-4.154,,-5.474,,-5.144,,,,,,,,,,-6.746,,,,,,,,,,,,,-7.208,,,,-8.06,,-3.033,-4.906
,-7.721,-7.371,-5.956,-3.783,-3.348,-6.532,-4.782,-3.597,-4.527,-1.324,-3.722,-7.108,-7.2,-6.781,-9.146,-4.654,,,-9.039,,-1.757,,,-6.54,,-5.87,-5.861,-6.378,-7.354,,-9.628,,,,,,,,,,-3.118,,,,,,,,,,,,,-4.225,,,,-10.229,,-8.538,-1.87
,-5.298,-6.293,-5.243,-5.946,-3.122,-8.677,-11.096,-11.987,-4.726,-4.506,-3.499,-5.734,-6.64,-6.456,-8.712,-3.717,,-5.028,-8.933,,-5.366,,,,,-4.733,-7.763,-4.257,-5.353,,-6.116,,,,,,,,,,-5.542,,,,,,,,,,,,,-4.879,,,,-5.834,,-6.46,-3.593
-5.36,-5.724,-5.825,-4.922,-3.775,-6.742,-8.897,-5.619,-4.678,-1.18,-2.954,-1.542,-7.225,-6.581,-6.366,-2.49,-8.77,-5.543,-3.59,-8.071,,-3.476,,,-3.072,,-5.92,-8.1,-4.487,-2.668,,-5.166,,,,,,,,,,-5.18,,,,,,,,,,,,,-6.682,,,,,,-7.858,-4.475
-7.76,-7.796,-9.435,-4.734,-4.46,-4.955,-6.793,-4.19,-5.012,-7.221,-7.184,,0.479,-5.127,-10.318,1.73,,,-6.076,-6.9,,-2.33,,,-7.65,,-7.404,-5.18,-4.387,,,-4.831,,,,,,,,,,0.298,,,,,,,,,,,,,-10.933,,,,,,-3.392,-4.993
-3.728,-2.096,-2.53,,-5.795,-5.275,-7.847,-8.01,-3.989,,-4.615,-0.451,,-9.46,,-5.065,,,-1.843,,,,,,0.353,,-3.695,-1.2,-3.146,-2.716,,-4.253,,,,,,,,,,,,,,,,,,,,,,,-13.018,,,,,,-2.057,-2.46
,,,-3.964,-3.824,-5.013,-4.74,-5.093,-4.178,-3.58,0.193,,,-5.074,,-3.29,,,-2.224,,,,,,,,-3.177,,,,,-6.514,,,,,,,,,,,,,,,,,,,,,,,-7.717,,,,,,-2.333,-1.428
,-1.253,-2.095,-4.757,-4.594,-8.58,,-6.411,-4.289,,0.813,,,,1.268,-1.691,,,-3.868,,,,,,,,-1.914,,,,,-7.172,,,,,,,,,,-0.23,,,,,,,,,,,,,-5.326,,,,,,-1.381,-3.134
-4.674,-3.731,-4.345,-7.831,-6.565,-5.124,-5.813,-8.814,,-5.28,,-3.276,,,,0.34,-4.88,,,-2.004,,-0.215,,,-1.76,,-3.106,2.51,-4.342,-2.56,,-8.857,,,,,,,,,,0.982,,,,,,,,,,,,,-6.715,,,,,,-3.844,-0.323
