1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
199.57,327.14,310.46,576.18,134.75,575.48,438.89,530.47,274.33,401.09,487.9,178.51,124.23,429.83,331.56,261.18,342.08,271.05,355.32,321.28,165.6,286.03,335.13,41.18,269.73,44.77,351.96,146.04,224.49,269.8,355.32,137.52,253.98,253.15,194.14,271.09,273.21,41.18,353.89,104.08,178.51,408.99,271.61,165.2,548.27,263.15,314.11,140.42,247.92,461.53,204.41,563.3,127.14,461.53,43.52,249.12,411.68,279.83,248.89,91.19,127.79,355.32
295.75,449.51,373.52,515.24,242.71,175.64,275.15,434.56,336.38,326.15,485.67,129.72,234.29,263.61,292.43,335.75,410.97,222.49,464.83,179.61,110.7,222.03,224.89,135.95,171.19,141.63,403.68,259.18,216.4,242.11,464.83,241.92,281.08,327.0,168.33,341.02,333.22,135.95,236.23,129.16,129.72,257.45,332.97,228.78,528.26,214.76,274.65,146.36,289.82,380.6,407.92,617.94,148.84,380.6,151.15,260.59,197.47,281.22,182.77,88.05,130.26,464.83
175.57,241.57,259.45,650.04,255.18,242.52,448.9,497.84,305.38,581.44,342.35,221.36,112.17,440.43,289.88,223.56,330.64,320.24,446.88,289.43,79.82,148.48,152.53,24.66,99.57,123.13,231.5,213.81,181.83,205.99,446.88,299.01,212.73,193.63,173.51,210.96,89.19,24.66,219.18,375.98,221.36,213.51,301.04,101.02,555.35,179.52,90.96,135.14,206.92,270.99,207.38,374.64,270.59,270.99,113.34,354.78,244.24,438.27,254.83,42.41,186.78,446.88
183.37,225.2,268.42,190.72,222.8,221.08,252.98,203.31,234.61,240.72,272.97,295.13,265.33,225.52,328.6,288.43,306.04,382.05,427.13,598.86,131.29,534.04,461.86,361.14,797.66,274.23,209.68,257.69,136.23,372.95,427.13,225.95,392.11,189.15,298.57,454.37,292.41,361.14,305.09,305.8,295.13,581.81,249.8,300.79,211.94,138.58,251.93,232.84,404.18,322.13,232.95,579.73,260.01,322.13,251.37,361.96,225.6,233.23,473.34,363.17,303.92,427.13
209.89,132.81,292.68,260.26,153.43,274.68,440.1,257.06,324.42,281.73,305.22,421.09,200.53,390.35,529.8,356.43,384.37,369.64,350.31,456.43,91.21,354.15,230.9,513.47,267.43,162.79,234.22,236.21,243.01,417.01,350.31,161.36,367.88,210.87,150.09,141.38,82.22,513.47,306.63,215.25,421.09,219.94,329.22,257.05,239.29,240.43,86.41,182.16,339.87,161.89,285.82,226.31,144.78,161.89,123.16,229.0,259.29,181.98,481.27,93.27,241.92,350.31
210.03,148.8,238.34,360.29,34.95,104.15,262.38,316.99,154.5,258.64,86.22,166.47,209.76,250.91,297.3,172.34,282.86,422.56,442.21,363.62,125.27,250.76,151.23,336.7,254.42,238.36,218.92,203.12,161.17,213.12,442.21,48.01,233.18,204.97,380.16,81.08,313.72,336.7,221.21,96.1,166.47,153.27,159.18,171.04,357.46,154.44,298.54,127.23,234.57,282.38,183.14,369.35,35.12,282.38,194.71,240.93,80.85,244.96,305.32,255.02,223.26,442.21
132.13,276.97,201.55,312.42,223.99,127.8,157.55,306.83,201.72,313.63,241.68,199.45,429.69,163.35,331.5,273.54,354.75,341.24,414.54,327.55,109.83,232.27,134.46,377.05,382.04,187.77,175.8,461.78,164.12,143.34,414.54,244.81,146.38,143.8,248.34,228.71,334.13,377.05,252.39,383.39,199.45,144.17,197.43,227.62,323.49,193.1,329.95,173.13,140.04,498.0,231.35,233.91,225.02,498.0,168.15,231.94,143.06,201.83,374.93,92.67,149.47,414.54
104.27,384.54,206.9,305.77,175.94,478.13,254.87,329.59,336.8,448.28,350.9,96.57,420.44,250.34,259.0,374.81,320.16,290.24,350.69,247.0,206.82,273.46,218.29,246.62,180.47,135.35,183.95,401.95,100.93,243.87,350.69,220.4,247.71,129.22,178.76,1.53,133.3,246.62,252.97,136.09,96.57,332.86,368.82,221.8,297.89,108.19,131.0,188.24,263.15,220.47,275.28,492.71,44.68,220.47,122.05,287.24,315.11,176.88,261.7,163.0,255.51,350.69
121.77,221.13,203.26,83.93,158.96,108.47,210.75,98.24,119.77,177.42,172.88,107.44,103.85,194.68,271.18,236.54,308.81,247.93,397.7,138.56,101.98,132.65,141.87,40.54,103.9,177.48,202.41,164.15,74.79,124.26,397.7,260.44,121.08,132.42,143.28,93.27,127.27,40.54,118.08,74.97,107.44,171.18,145.06,79.14,73.44,73.54,121.09,940.1,124.43,526.28,226.79,434.83,105.97,526.28,139.58,226.94,102.99,253.24,96.39,73.03,1226.56,397.7
61.57,94.69,87.51,314.24,131.63,80.09,174.13,240.25,86.46,137.47,292.9,42.99,9.36,182.96,60.13,133.25,61.48,257.85,270.78,9.13,122.8,2.62,0.63,0.0,266.08,249.39,100.88,5.8,55.04,72.75,270.78,206.98,12.55,57.06,31.14,219.19,224.67,0.0,106.21,28.04,42.99,11.3,84.56,1.39,350.76,53.58,223.6,571.66,13.13,196.2,189.9,118.78,55.67,196.2,198.22,336.4,84.59,113.04,23.01,122.35,628.58,270.78
35.51,18.09,44.5,185.11,116.3,52.05,191.98,152.05,151.53,54.51,114.33,32.72,0.0,167.19,75.68,369.77,127.79,40.71,72.96,5.4,76.85,0.0,0.0,2.73,188.02,190.48,94.61,0.34,52.06,57.26,72.96,135.54,5.65,63.01,54.03,19.31,40.14,2.73,14.95,55.93,32.72,0.0,135.17,84.6,192.67,44.89,37.64,587.63,6.05,411.86,145.89,30.93,78.0,411.86,163.01,121.37,57.19,187.81,1.34,132.39,686.06,72.96
0.83,5.09,12.7,148.05,245.51,269.29,119.86,133.29,31.11,12.44,68.0,0.0,0.0,138.62,33.85,116.35,41.95,94.33,153.72,0.83,77.23,0.0,0.0,0.0,9.66,306.46,7.93,0.0,0.53,0.0,153.72,381.34,0.0,1.13,0.0,114.7,32.92,0.0,7.76,89.3,0.0,0.0,35.94,0.0,96.08,0.92,13.86,224.23,0.0,262.89,84.22,0.04,141.36,262.89,274.32,40.89,203.14,22.65,0.0,39.16,325.2,153.72
12.94,130.3,33.06,255.67,208.31,269.59,167.69,255.07,23.02,9.69,46.33,2.43,0.0,155.96,48.0,196.5,105.02,138.01,241.79,1.13,135.22,0.79,0.0,0.0,23.46,200.26,53.88,0.04,16.37,53.15,241.79,235.77,5.48,20.98,8.9,126.58,73.75,0.0,43.64,146.64,2.43,3.16,28.19,0.0,249.34,26.62,51.92,312.97,7.31,341.26,315.15,72.7,104.79,341.26,199.61,79.93,320.04,77.77,0.03,84.57,299.34,241.79
98.87,144.52,201.38,275.19,360.34,257.76,543.94,237.55,247.15,294.09,135.9,134.93,13.53,554.54,151.55,194.88,347.69,201.8,160.1,79.15,90.77,38.91,31.74,41.7,40.81,236.42,168.25,33.61,85.62,71.12,160.1,372.32,56.34,121.08,46.82,213.45,143.74,41.7,179.79,181.53,134.93,104.3,265.0,78.62,259.22,92.65,172.97,90.05,52.38,293.48,182.91,95.69,230.2,293.48,201.45,235.15,261.5,72.69,105.32,24.04,74.92,160.1
95.87,305.85,247.64,732.46,216.81,366.45,308.24,648.71,298.74,251.71,305.06,130.68,275.54,267.07,216.74,254.08,355.09,210.41,321.12,205.36,123.35,132.32,172.03,230.94,289.99,224.64,220.36,278.53,113.64,390.22,321.12,245.92,355.62,105.11,176.82,496.66,114.45,230.94,195.41,255.53,130.68,181.31,302.06,169.35,791.46,107.25,108.75,112.15,386.84,261.02,223.21,394.93,249.43,261.02,221.8,372.74,351.73,158.81,219.27,86.36,50.44,321.12
143.28,251.63,194.15,361.73,309.6,317.03,514.8,366.84,189.95,289.76,278.09,163.42,396.29,483.54,718.75,345.28,512.36,408.17,352.92,637.69,158.64,364.37,300.03,422.55,387.63,275.87,172.73,379.83,133.17,190.81,352.92,318.1,217.99,152.43,333.41,513.92,199.66,422.55,518.94,187.31,163.42,312.12,183.45,261.42,375.57,144.91,216.03,154.11,225.24,217.52,288.57,339.56,212.6,217.52,225.01,305.51,326.55,191.33,674.2,123.88,175.01,352.92
244.05,210.66,336.82,211.42,114.67,89.38,204.22,158.78,132.66,291.42,236.03,248.39,430.61,166.28,256.26,369.63,343.27,244.45,307.1,318.04,180.13,543.54,418.33,289.53,241.02,170.47,279.0,442.45,257.03,494.2,307.1,95.62,390.81,258.61,358.74,278.16,112.25,289.53,211.44,186.48,248.39,422.04,124.93,394.82,216.96,266.17,112.88,115.92,388.83,201.04,308.75,424.29,171.59,201.04,136.11,179.4,75.96,196.59,311.85,105.76,97.25,307.1
